======================================================================
Phase 1: Differential Evolution - Seed 0
======================================================================
Using workers=25
DE Iter     1: Loss=9.034667e+04 (Spread=7.531328e+01, PenIm=9.03e+04, convergence=0.000e+00)
DE Iter  8400: Loss=3.267679e-06 (Spread=3.267679e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  8500: Loss=3.267679e-06 (Spread=3.267679e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  8600: Loss=3.267679e-06 (Spread=3.267679e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  8700: Loss=3.267679e-06 (Spread=3.267679e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  8800: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  8900: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  9000: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  9100: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  9200: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  9300: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  9400: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  9500: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  9600: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  9700: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  9800: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  9900: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 10000: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 10100: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 10200: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 10300: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 10400: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 10500: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 10600: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 10700: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 10800: Loss=2.280490e-06 (Spread=2.280490e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 10900: Loss=2.265092e-06 (Spread=2.265092e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 11000: Loss=2.265092e-06 (Spread=2.265092e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 11100: Loss=2.265092e-06 (Spread=2.265092e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 11200: Loss=2.265092e-06 (Spread=2.265092e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 11300: Loss=2.265092e-06 (Spread=2.265092e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 11400: Loss=2.033034e-06 (Spread=2.033034e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 11500: Loss=2.033034e-06 (Spread=2.033034e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 11600: Loss=2.033034e-06 (Spread=2.033034e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 11700: Loss=2.033034e-06 (Spread=2.033034e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 11800: Loss=2.033034e-06 (Spread=2.033034e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 11900: Loss=2.033034e-06 (Spread=2.033034e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 12000: Loss=2.033034e-06 (Spread=2.033034e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 12100: Loss=2.033034e-06 (Spread=2.033034e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 12200: Loss=2.033034e-06 (Spread=2.033034e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 12300: Loss=2.033034e-06 (Spread=2.033034e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 12400: Loss=2.033034e-06 (Spread=2.033034e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 12500: Loss=2.016491e-06 (Spread=2.016491e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 12600: Loss=2.016491e-06 (Spread=2.016491e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 12700: Loss=2.016491e-06 (Spread=2.016491e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 12800: Loss=2.016491e-06 (Spread=2.016491e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 12900: Loss=1.907943e-06 (Spread=1.907943e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 13000: Loss=1.907943e-06 (Spread=1.907943e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 13100: Loss=1.907943e-06 (Spread=1.907943e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 13200: Loss=1.907943e-06 (Spread=1.907943e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 13300: Loss=1.907943e-06 (Spread=1.907943e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 13400: Loss=1.907943e-06 (Spread=1.907943e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 13500: Loss=1.907943e-06 (Spread=1.907943e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 13600: Loss=1.907943e-06 (Spread=1.907943e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 13700: Loss=1.907943e-06 (Spread=1.907943e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 13800: Loss=1.907943e-06 (Spread=1.907943e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 13900: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 14000: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 14100: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 14200: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 14300: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 14400: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 14500: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 14600: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 14700: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 14800: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 14900: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 15000: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 15100: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 15200: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 15300: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 15400: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 15500: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 15600: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 15700: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 15800: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 15900: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 16000: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 16100: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 16200: Loss=1.887108e-06 (Spread=1.887108e-06, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 16300: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 16400: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 16500: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 16600: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 16700: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 16800: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 16900: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 17000: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 17100: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 17200: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 17300: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 17400: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 17500: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 17600: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 17700: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 17800: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 17900: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 18000: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 18100: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 18200: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 18300: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 18400: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 18500: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 18600: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 18700: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 18800: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 18900: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 19000: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 19100: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 19200: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 19300: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 19400: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 19500: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 19600: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 19700: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 19800: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 19900: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 20000: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)

======================================================================
Phase 2: L-BFGS-B Refinement
======================================================================

======================================================================
FINAL RESULT
======================================================================
Total Loss: 7.556884e-07
Spread (Variance): 7.556884e-07
Penalty Im: 0.000000e+00

Eigenvalues:
  lambda_1 = +1.5924596185 -6.4089800590i
  lambda_2 = +1.5919153616 -6.4091583855i
  lambda_3 = +1.5918179584 -6.4099358058i

Degeneracy Check:
  Std(Re) = 2.823376e-04
  Std(Im) = 4.149477e-04
  Min |Im(λ)| = 6.4090 (constraint: |Im(λ)| >= 5.0)

